Feature ID	Taxonomy
4f400a6e527b868bfd73209db38a6fb6	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae
27083193219fbfbf07a3b6bde8758941	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria;sh__SH1334237.09FU
aa0ad705989aefc8935b86e684811711	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Cochlearomycetaceae;g__Satchmopsis;s__Satchmopsis_metrosideri;sh__SH1513315.09FU
86343ed2bd30e3f0688bc3d24b79e723	k__Fungi;p__Basidiomycota;c__Agaricomycetes
cda5911effb1c8aab388da26a6e77125	k__Fungi;p__Ascomycota
fe771691490fd54a0afd1c2792b1972e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Rickenella;s__Rickenella_indica;sh__SH1964039.09FU
aa970b1694b86fa7f14433e207e8a997	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_olivaceum;sh__SH1711618.09FU
a917ed721ffc8652868cd24b5c5b0662	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
45b6fc15497263abb5243dd1957eae5c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_sporotrichoides;sh__SH1556031.09FU
7bbc46e9e1ab8366210908b007644f63	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
c29954d002fab3ce1dd6cee28f48866b	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_camargensis;sh__SH1366784.09FU
c401c976e9c4d28fcc1892940c1a6dfc	k__Fungi
7bff81af04484217eeb2c0f1ae2b7ab4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_fulvopaludosus;sh__SH2049989.09FU
5d2b147ce6f48571aff1d3083f16c330	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_kratochvilovae;sh__SH1574396.09FU
847ddb3c657b7a90f6d7445fcbdee708	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
6c581bd515a263290edf1b7719660713	k__Fungi;p__Ascomycota
59f25f99ea77cc2a04f58489211cc91c	k__Fungi;p__Ascomycota
7f4193cd55a65cbe74121a02b0e519a3	k__Fungi;p__Basidiomycota
37338b1f4aa52dd4f8566cc41ad7397e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Thaxterogaster
3c58d57b452c0037c189948596810971	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
3b787e1ca5bf2d490b590bb06e95cde4	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_camargensis;sh__SH1366784.09FU
7209d7b01d1faea634b73fb1ed7c1a8d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma
5c9859406f66119bca842dd0b7f9fde3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
56102952efc47090e4a50b2cd497cb0f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita_pseudopantherina;sh__SH1832529.09FU
3a88c89992b9ad9a4caf648a81c9a511	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_humicola;sh__SH1415840.09FU
2c1ffe05aab94d0bdaff84696caa7656	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_lanatum;sh__SH1870371.09FU
ddb1f8e722bf89394b5ea53f4dd4f3c9	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Coleophoma;s__Coleophoma_camelliae;sh__SH1512308.09FU
5d86ee9b86e26e5a599cd2de267e2656	k__Fungi
da3f158762782ea61914f169424d0268	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria;sh__SH1334237.09FU
1f5250650d66be81578b22b013b771e1	k__Fungi;p__Ascomycota
e4ba2473430700ca8c001e1bf2a60673	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
a905c52a1350893ca932ee53ac4551a8	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
ed15dfad61e23e32983fcfb47c9b4779	k__Fungi;p__Basidiomycota;c__Agaricomycetes
