#TAXONOMY	Kingdom	Phyla	Class	Order	Family	Genus	Species
bc199d02101e1dc5653f3971a1ea8ff2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Unknown	Unknown
e4ae79ba8c7092d8c59bb34bde4e4058	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
270142533abbd431882bc7880e6c9b29	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_recta
cd3e220ed2f4a7295f323326f251d63f	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_amoeboidea
4fdb7c057c22a81a21c04c8277d1b2a0	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Unknown	Unknown	Unknown
75c5b052c6b93c50860b98b1c87d4ca1	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Unknown
135a65f20a0e2b623d4a69e249e8e3a5	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_magnum
98552d0f0fe9b8ab37fe10495ac31636	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
8c9eef1e2d64b68b906d3b5884fff705	Fungi	Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown
724462591f7022c94843ce43b822d067	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
355dd1b28f3f780ea69f89d7824946fb	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
5534b6c57ed8fd131daed46254d4b699	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Unknown
e528feacc246257d6b6c2574c6a3ff31	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Acephala	Acephala_sp
4fe42b6bfc9d8b4e71f3bcc1a747b71f	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
f29c3d0bebbda50c9669f7e250917bd9	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis
e88e04a50d3cd17e8c0f2d046d6705d2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon	Lycoperdon_ericaeum
d3b78ab22c4f29fe67dd26b54dcd2938	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Unknown
b0c88b8cce1537786e19898803c2a290	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Unknown
4d9edc4b95ddcdea6f7dc6d6998fd300	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Strobilurus	Strobilurus_conigenoides
376703dc53055854bb2b6bbe73744364	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
3416a1ca2d20efeed2b33041f4b82f1f	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_sp
132403468dd139a40173e2f863c2746a	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
afafff21d944ebcf99b6c02872fee787	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unknown
7e85eedd60cedec07bf2ff44aef6e77d	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Unknown
826ff2013f46d57d7e8a3ed35aba27aa	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
73c9ed19786a87a925734e168583b090	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae
e1fbecf10e5b66d8c055bf69b1276fc3	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
8247bf158bc30440d63d0b2ec9f9599b	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Unknown
6c0f88f2ee2fd615e2d5714c4d6dea0f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pseudodidymellaceae	Mycodidymella	Mycodidymella_aesculi
3051dc758f6e3e8526af56715f0e1a62	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
b23843fad8b434174f00eab751d6d156	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unknown
1e942d3be9871b5f9f2384a97a419f0a	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
120df37a596a290b64035bc471e32830	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
558dc24e4b58ecd300ba520cb6269f05	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_recta
3abd8f79c3ae533e46c78f9252e7ea7f	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon	Unknown
0929dcd60260a4df56f4fdc8e233ef72	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
31f46e1ea7e3a0d3c28ad6d104d6a400	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
71ed3d35ac08dcbfa948e1947d40a8be	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Juncaceicola	Juncaceicola_padellana
c4b98ab3943b09cf85b04dbd66f04b87	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
3ebadeaf500400113fb4749223c07482	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
de61e1089446e0706352d7aec4b6641c	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
21afc7780834e1e6e85e230813b5a431	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia_catenospora
d305dcfd02bc245a813e3d1e0787a8dd	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Lyophyllum	Lyophyllum_shimeji
30a7ca7c85b8453eff2f7b61b1cebfe1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Oculimacula	Oculimacula_yallundae
02bc17d7d694f53c472ce0da73320d4e	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Unknown	Unknown	Unknown
c73e244c7142b007e43cb2dc92661cd9	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
c3375b53afe46ecc7dbd4a6a25794ebb	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis
ece6f0e22556b357bfa02fb1ca72db7f	Fungi	Basidiomycota	Agaricomycetes	Unknown	Unknown	Unknown	Unknown
