Feature ID	Taxon	Phyla	Class	Order	Family	Genus	Species	Sequence_Hierarchy	Guild	Trophic_Mode
15a3bde81591756bd544b6b6c2416587	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Chrysozyma	Chrysozyma_pseudogriseoflava	SH1843221.09FU	Undefined Saprotroph	Saprotroph
6273f0b32ec54ebc4efbcdbd7d947930	Fungi	Basidiomycota	Tremellomycetes							Unknown
d7a85e85d9a353b0a30bb51e9ee789f4	Fungi	Ascomycota								Unknown
e33bf2c831ec4299283c7c4aef7b9d3f	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_nemorosa	SH1485267.09FU	Fungal Parasite	Pathotroph
b59aefce468d69452699328164261a75	Fungi									Unknown
bd4413fe285cdddc3582482293120ca5	Fungi	Basidiomycota	Agaricomycetes	Agaricales						Multiple
4f0ecec105550c7bd90d8a4b3024060f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria_aetnensis	SH1364376.09FU	Undefined Saprotroph	Saprotroph
574d58bcdaeedf882309d7cb3b82e9ed	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea_nubica	SH1681349.09FU	Animal Pathogen	Pathotroph
2443f006e1db1d1204827bf6fb7b354f	Fungi	Basidiomycota								Unknown
fa5a1bb86fdd1726e8b0f125fbc8f34e	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_sporotrichoides	SH1556031.09FU		Saprotroph
231e300713668edfbc8acb55d5083a73	Fungi	Basidiomycota								Unknown
aa1a56b68569ab0a44b05b9b1b72d9fc	Fungi	Ascomycota								Unknown
9730240b3dcfc73a77af9f6602e52790	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales						Unknown
bed54408da9e022b3b7bc60886f3c1a8	Fungi	Ascomycota	Leotiomycetes							Unknown
538f18a2c8d134c639bca56c67010663	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_recta	SH1513070.09FU	Plant Saprotroph	Multiple
ce19095ba1533bbb3834349b9d4c5384	Fungi	Ascomycota								Unknown
7440e4b3a671b12d3054026ecbd2b815	Fungi	Ascomycota								Unknown
03583be004bdd45f6a520781758313ab	Fungi	Basidiomycota								Unknown
b221f62c5d6baedfe4d2c11e21e7706d	Fungi	Basidiomycota	Agaricomycetes	Agaricales						Multiple
