SampleID	Original_Label	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Sequence_Counts	pH	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL
RT59	OG_W_19	RT59	Root Tip	Tree	Day_of_Harvest	19	Old_Forest	Non_Salvage_Harvested	Wet	99514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT60	OG_W_23	RT60	Root Tip	Tree	Day_of_Harvest	23	Old_Forest	Non_Salvage_Harvested	Wet	82649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT61	OG_W_26	RT61	Root Tip	Tree	Day_of_Harvest	26	Old_Forest	Non_Salvage_Harvested	Wet	30156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT62	OG_W_27	RT62	Root Tip	Tree	Day_of_Harvest	27	Old_Forest	Non_Salvage_Harvested	Wet	73719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT69	2Post_W_5	RT69	Root Tip	Tree	Day_of_Harvest	5	2ndPostMPB	Salvage_Harvested	Wet	55306	6.216	1.3389	0.104	2.001231131	1.69314959	2.321627476	1.377350216	7.435816893	1.864651148	9.806614364	0.082374523	2.373226249
RT70	2Post_W_9	RT70	Root Tip	Tree	Day_of_Harvest	9	2ndPostMPB	Salvage_Harvested	Wet	60553	6.398	1.8794	0.1283	2.086470753	0.201671054	2.617683315	1.395151419	8.368500615	1.685387742	7.455389809	0.075212425	3.273359369
RT71	2Post_W_17	RT71	Root Tip	Tree	Day_of_Harvest	17	2ndPostMPB	Salvage_Harvested	Wet	45992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT72	2Post_W_21	RT72	Root Tip	Tree	Day_of_Harvest	21	2ndPostMPB	Salvage_Harvested	Wet	55669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT73	2Post_W_23	RT73	Root Tip	Tree	Day_of_Harvest	23	2ndPostMPB	Salvage_Harvested	Wet	63850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT74	2Post_W_30	RT74	Root Tip	Tree	Day_of_Harvest	30	2ndPostMPB	Salvage_Harvested	Wet	53047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT75	RC_W_3	RT75	Root Tip	Tree	Day_of_Harvest	3	Recent_Cut	Salvage_Harvested	Wet	51214	6.12	5.3285	0.2102	2.599843597	1.905828331	2.267644344	1.881900254	11.14527533	2.623926367	11.15495895	0.242719492	3.191590287
RT76	RC_W_7	RT76	Root Tip	Tree	Day_of_Harvest	7	Recent_Cut	Salvage_Harvested	Wet	48057	5.989	4.9234	0.1968	2.36734212	2.450316937	2.205790417	1.598918742	9.539478693	2.097026922	12.71074529	0.1253723	3.597856682
RT77	RC_W_11	RT77	Root Tip	Tree	Day_of_Harvest	11	Recent_Cut	Salvage_Harvested	Wet	32300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT78	RC_W_15	RT78	Root Tip	Tree	Day_of_Harvest	15	Recent_Cut	Salvage_Harvested	Wet	66394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT79	RC_W_17	RT79	Root Tip	Tree	Day_of_Harvest	17	Recent_Cut	Salvage_Harvested	Wet	72352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT8	2Pre_W_1	RT8	Root Tip	Tree	Day_of_Harvest	1	2ndPreMPB	Non_Salvage_Harvested	Wet	83258	6.214	6.579	0.2114	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT80	RC_W_20	RT80	Root Tip	Tree	Day_of_Harvest	20	Recent_Cut	Salvage_Harvested	Wet	75338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT81	RC_W_25	RT81	Root Tip	Tree	Day_of_Harvest	25	Recent_Cut	Salvage_Harvested	Wet	58748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT9	2Pre_W_6	RT9	Root Tip	Tree	Day_of_Harvest	6	2ndPreMPB	Non_Salvage_Harvested	Wet	119281	6.279	4.9479	0.1784	NA	NA	NA	NA	NA	NA	NA	NA	NA
