SampleID	Treatment	Moisture	Salvage_Harvest_Status	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio
1Post_W_6	1st_Post_MPB	Wet	Salvage_Harvested	3.6	3.15	0.214310186	0.0813	2.636041647
1Post_W_7	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_8	1st_Post_MPB	Wet	Salvage_Harvested	4.8	3.15	0.155	0.0727	2.132049519
1Post_W_9	1st_Post_MPB	Wet	Salvage_Harvested	4.5	3.6	0.252983922	NA	NA
1Post_W_10	1st_Post_MPB	Wet	Salvage_Harvested	2.9	2.9	0.148	0.0599	2.470784641
1Post_W_11	1st_Post_MPB	Wet	Salvage_Harvested	4.2	3.1	0.1809	0.105	1.722857143
1Post_W_12	1st_Post_MPB	Wet	Salvage_Harvested	1	2.95	0.1843	0.065	2.835384615
1Post_W_13	1st_Post_MPB	Wet	Salvage_Harvested	3.5	3.05	0.1552	0.065	2.387692308
1Post_W_14	1st_Post_MPB	Wet	Salvage_Harvested	3.6	3.15	0.1913	0.0641	2.984399376
1Post_W_15	1st_Post_MPB	Wet	Salvage_Harvested	3.8	3.3	0.253033012	0.0909	2.783641494
1Post_W_16	1st_Post_MPB	Wet	Salvage_Harvested	3.8	3.6	0.198	0.0693	2.857142857
1Post_W_17	1st_Post_MPB	Wet	Salvage_Harvested	2.6	1.6	0.0529	0.0212	2.495283019
1Post_W_18	1st_Post_MPB	Wet	Salvage_Harvested	3.6	4.6	0.282765461	0.0762	3.710832821
1Post_W_19	1st_Post_MPB	Wet	Salvage_Harvested	4.7	2.75	NA	NA	NA
1Post_W_20	1st_Post_MPB	Wet	Salvage_Harvested	4.9	2.75	0.2042	0.0396	5.156565657
1Post_W_21	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_22	1st_Post_MPB	Wet	Salvage_Harvested	3.4	2.75	0.159953379	0.0753	2.124214865
1Post_W_23	1st_Post_MPB	Wet	Salvage_Harvested	4.2	3.9	0.2795	0.1056	2.646780303
1Post_W_24	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_25	1st_Post_MPB	Wet	Salvage_Harvested	4.4	4.8	0.283331718	0.089	3.183502449
1Post_W_26	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_27	1st_Post_MPB	Wet	Salvage_Harvested	3.1	2.05	0.0686	0.0308	2.227272727
1Post_W_28	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_29	1st_Post_MPB	Wet	Salvage_Harvested	4.2	3	0.1903	0.0685	2.77810219
1Post_W_30	1st_Post_MPB	Wet	Salvage_Harvested	4.6	2.85	0.2151	0.0618	3.480582524
2Post_W_1	2nd_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
